                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.68413,                 0.5251,                 1.1434,                0.88712,                0.84262,                0.89116,                 0.5562,                 1.3926,                0.71431,                 1.8295,             0.00040175,             0.00040175,             0.00040175
                    118,                0.67098,                0.51001,                 1.1348,                0.89951,                0.83796,                0.89314,                 0.5625,                 1.3795,                0.70764,                 1.8197,             0.00039074,             0.00039074,             0.00039074
                    119,                0.67752,                0.52435,                 1.1432,                0.89759,                 0.8428,                 0.8946,                0.56323,                 1.3835,                0.69135,                 1.8318,             0.00037974,             0.00037974,             0.00037974
                    120,                0.73569,                0.55458,                 1.1822,                0.90736,                0.82923,                0.89597,                0.55856,                 1.4004,                 0.6964,                 1.8318,             0.00036874,             0.00036874,             0.00036874
                    121,                0.72142,                 0.5587,                 1.1675,                0.89859,                0.84046,                0.89978,                0.56018,                 1.3933,                0.69382,                  1.813,             0.00035774,             0.00035774,             0.00035774
                    122,                0.71593,                0.55086,                 1.1598,                0.89337,                 0.8392,                0.89737,                0.56071,                 1.3875,                0.69902,                 1.8142,             0.00034674,             0.00034674,             0.00034674
                    123,                0.72053,                0.55728,                 1.1606,                0.89754,                0.83316,                0.89506,                0.55774,                 1.3882,                0.70433,                 1.8202,             0.00033573,             0.00033573,             0.00033573
                    124,                 0.7169,                 0.5589,                 1.1655,                0.88308,                0.84117,                0.89129,                0.55987,                 1.3762,                0.71081,                 1.8068,             0.00032473,             0.00032473,             0.00032473
                    125,                0.70785,                0.54201,                 1.1568,                0.88231,                0.84503,                0.89142,                0.55892,                 1.3792,                0.71151,                 1.8032,             0.00031373,             0.00031373,             0.00031373
                    126,                0.70708,                0.54691,                 1.1512,                0.89086,                0.83963,                0.89632,                0.55937,                 1.3887,                0.71554,                 1.8199,             0.00030273,             0.00030273,             0.00030273
                    127,                0.70048,                 0.5407,                 1.1492,                0.89512,                0.83463,                  0.894,                 0.5568,                 1.3904,                0.71205,                 1.8091,             0.00029172,             0.00029172,             0.00029172
                    128,                0.70629,                0.54527,                 1.1595,                0.89224,                0.83924,                0.89657,                0.55782,                 1.3969,                0.70585,                  1.817,             0.00028072,             0.00028072,             0.00028072
                    129,                0.69269,                0.53692,                 1.1451,                0.89055,                0.83712,                0.89702,                0.56062,                 1.3976,                0.70625,                 1.8155,             0.00026972,             0.00026972,             0.00026972
                    130,                0.69129,                0.53078,                 1.1496,                0.91044,                0.82122,                0.89952,                0.56044,                 1.3934,                0.70312,                 1.8176,             0.00025872,             0.00025872,             0.00025872
                    131,                0.69131,                0.53626,                 1.1514,                 0.8888,                0.84094,                 0.8962,                0.56193,                 1.3959,                0.69998,                 1.8222,             0.00024772,             0.00024772,             0.00024772
                    132,                  0.689,                0.52584,                 1.1444,                0.90574,                0.83449,                0.89923,                0.56024,                  1.401,                0.70478,                 1.8348,             0.00023671,             0.00023671,             0.00023671
                    133,                0.67468,                0.51573,                 1.1372,                0.89764,                0.83757,                0.89709,                0.55967,                 1.3989,                0.71206,                 1.8309,             0.00022571,             0.00022571,             0.00022571
                    134,                  0.673,                0.51983,                 1.1334,                0.89642,                0.84028,                0.89958,                0.55849,                 1.3966,                0.70995,                 1.8258,             0.00021471,             0.00021471,             0.00021471
                    135,                0.66912,                0.51205,                 1.1294,                0.90242,                0.83257,                0.89653,                0.55903,                 1.3969,                0.71098,                 1.8269,             0.00020371,             0.00020371,             0.00020371
                    136,                0.67767,                0.51805,                 1.1406,                0.91065,                 0.8191,                0.89494,                0.55852,                 1.3928,                0.71004,                 1.8247,             0.00019271,             0.00019271,             0.00019271
                    137,                0.66839,                0.50562,                 1.1293,                0.88356,                0.84614,                 0.8982,                0.55882,                 1.3979,                0.71073,                 1.8318,              0.0001817,              0.0001817,              0.0001817
                    138,                0.66309,                0.50938,                 1.1303,                0.88087,                0.84615,                0.89789,                0.55668,                 1.4078,                0.71388,                 1.8468,              0.0001707,              0.0001707,              0.0001707
                    139,                0.66083,                0.50137,                 1.1278,                0.89674,                0.83522,                0.89658,                0.55775,                 1.4008,                 0.7127,                 1.8351,              0.0001597,              0.0001597,              0.0001597
                    140,                0.65447,                0.50277,                 1.1251,                0.89559,                0.83756,                0.89617,                0.56065,                 1.3988,                 0.7137,                 1.8349,              0.0001487,              0.0001487,              0.0001487
                    141,                0.57977,                0.33296,                 1.0631,                 0.8962,                0.83052,                  0.893,                 0.5546,                 1.3967,                0.71388,                 1.8474,             0.00013769,             0.00013769,             0.00013769
                    142,                0.57079,                0.32055,                 1.0626,                 0.8934,                0.83206,                0.89282,                0.55436,                 1.3939,                0.71467,                 1.8481,             0.00012669,             0.00012669,             0.00012669
                    143,                0.56509,                0.31276,                 1.0572,                0.88873,                0.83372,                0.89361,                0.55525,                 1.3909,                0.71479,                 1.8442,             0.00011569,             0.00011569,             0.00011569
                    144,                0.55882,                0.30944,                 1.0489,                0.89648,                0.82569,                0.89421,                0.55676,                 1.3896,                0.71899,                 1.8444,             0.00010469,             0.00010469,             0.00010469
                    145,                0.54975,                  0.306,                  1.044,                0.88704,                0.83287,                0.89441,                0.55917,                 1.3909,                0.71738,                 1.8505,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    146,                0.54918,                0.30055,                 1.0498,                0.88691,                0.83146,                0.89144,                0.55783,                 1.3918,                0.71849,                 1.8575,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    147,                0.54513,                0.30338,                  1.043,                0.91465,                0.80915,                0.89288,                0.55887,                  1.393,                0.71835,                 1.8604,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    148,                0.53535,                0.30452,                 1.0393,                0.90571,                0.81969,                 0.8938,                0.55952,                 1.3928,                 0.7182,                  1.861,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    149,                0.52922,                0.29889,                 1.0315,                0.91678,                0.81146,                0.89498,                0.56011,                 1.3929,                0.71815,                 1.8626,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    150,                0.53394,                0.30171,                 1.0356,                 0.9026,                0.82099,                0.89633,                0.56135,                 1.3915,                 0.7158,                 1.8642,             3.8674e-05,             3.8674e-05,             3.8674e-05
