                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.80382,                0.96339,                 1.2717,                0.82501,                0.80542,                 0.8642,                0.55679,                 1.2478,                0.78678,                 1.6151,               0.006766,               0.006766,               0.006766
                    101,                 0.8205,                0.97243,                  1.282,                0.82305,                0.79993,                0.86313,                0.55697,                 1.2481,                0.78791,                 1.6159,               0.006733,               0.006733,               0.006733
                    102,                0.81776,                0.96872,                 1.2755,                0.82477,                0.80333,                0.86433,                0.55721,                 1.2483,                 0.7877,                 1.6166,                 0.0067,                 0.0067,                 0.0067
                    103,                  0.825,                0.97519,                 1.2804,                0.81945,                0.80961,                0.86418,                0.55669,                 1.2484,                0.78665,                 1.6166,               0.006667,               0.006667,               0.006667
                    104,                0.82393,                0.98906,                 1.2825,                0.81927,                0.80867,                0.86355,                0.55632,                 1.2507,                0.78666,                 1.6202,               0.006634,               0.006634,               0.006634
                    105,                0.82551,                0.98598,                 1.2825,                0.83479,                0.79527,                0.86286,                0.55608,                   1.25,                 0.7873,                   1.62,               0.006601,               0.006601,               0.006601
                    106,                0.83453,                0.98713,                 1.2903,                0.83573,                0.79473,                0.86268,                0.55514,                 1.2503,                0.78744,                 1.6205,               0.006568,               0.006568,               0.006568
                    107,                0.83416,                0.98541,                 1.2849,                0.83679,                 0.7925,                0.86342,                0.55512,                 1.2502,                0.78857,                 1.6195,               0.006535,               0.006535,               0.006535
                    108,                0.83129,                0.98969,                 1.2884,                 0.8404,                0.78735,                0.86257,                0.55462,                 1.2505,                0.78945,                   1.62,               0.006502,               0.006502,               0.006502
                    109,                0.83723,                0.99569,                 1.2942,                  0.841,                0.78314,                 0.8622,                0.55463,                 1.2502,                0.79061,                 1.6195,               0.006469,               0.006469,               0.006469
                    110,                0.83826,                 1.0003,                 1.2913,                0.84924,                0.78115,                  0.862,                 0.5547,                 1.2495,                0.79112,                 1.6189,               0.006436,               0.006436,               0.006436
                    111,                0.84479,                0.99345,                 1.2949,                0.84482,                0.78252,                0.86215,                0.55418,                 1.2505,                0.79187,                 1.6199,               0.006403,               0.006403,               0.006403
                    112,                0.84282,                0.99914,                 1.2963,                0.84578,                0.78441,                0.86248,                 0.5537,                 1.2509,                0.79382,                 1.6203,                0.00637,                0.00637,                0.00637
                    113,                 0.8414,                 1.0005,                  1.293,                0.84523,                0.78362,                0.86306,                0.55343,                  1.251,                0.79403,                 1.6206,               0.006337,               0.006337,               0.006337
                    114,                0.69058,                0.82497,                 1.1917,                0.84474,                0.78435,                0.86261,                0.55388,                 1.2515,                0.79508,                 1.6219,               0.006304,               0.006304,               0.006304
                    115,                0.74823,                0.88974,                  1.227,                0.84628,                0.78151,                0.86212,                0.55309,                 1.2519,                0.79626,                 1.6234,               0.006271,               0.006271,               0.006271
                    116,                0.76668,                0.90148,                 1.2392,                0.84626,                0.78061,                0.86095,                0.55163,                 1.2523,                0.79798,                 1.6241,               0.006238,               0.006238,               0.006238
                    117,                 0.7746,                 0.9184,                 1.2483,                0.84277,                0.78146,                0.86034,                0.55177,                 1.2515,                0.79825,                 1.6235,               0.006205,               0.006205,               0.006205
                    118,                0.78967,                0.93052,                 1.2598,                0.84293,                0.78134,                0.85987,                0.55184,                 1.2517,                0.79944,                 1.6246,               0.006172,               0.006172,               0.006172
                    119,                0.78834,                0.92887,                 1.2545,                0.84108,                0.78267,                0.86031,                0.55217,                 1.2511,                0.79855,                 1.6241,               0.006139,               0.006139,               0.006139
                    120,                0.79274,                0.93232,                 1.2569,                0.83121,                0.79337,                0.85959,                0.55155,                 1.2504,                0.79845,                 1.6233,               0.006106,               0.006106,               0.006106
                    121,                0.79992,                0.94735,                 1.2645,                0.83053,                  0.794,                 0.8585,                0.55136,                 1.2507,                0.79852,                 1.6241,               0.006073,               0.006073,               0.006073
                    122,                0.80126,                0.95382,                  1.265,                0.83006,                0.79527,                0.86002,                0.55179,                 1.2516,                 0.7987,                 1.6265,                0.00604,                0.00604,                0.00604
                    123,                0.80798,                0.95117,                 1.2727,                0.82958,                  0.794,                0.85948,                0.55138,                 1.2517,                0.79835,                 1.6271,               0.006007,               0.006007,               0.006007
                    124,                0.81106,                 0.9512,                 1.2683,                0.82916,                0.79563,                0.85907,                0.55025,                 1.2516,                0.79879,                 1.6275,               0.005974,               0.005974,               0.005974
                    125,                0.80996,                0.96463,                 1.2729,                0.82824,                0.79529,                0.85925,                0.55083,                 1.2521,                0.79907,                  1.628,               0.005941,               0.005941,               0.005941
                    126,                0.81257,                0.96777,                 1.2719,                0.82581,                0.80104,                0.85906,                0.55101,                 1.2524,                0.80026,                 1.6285,               0.005908,               0.005908,               0.005908
                    127,                0.81969,                0.96953,                 1.2753,                0.82412,                0.80186,                0.85761,                0.55148,                 1.2536,                0.80056,                 1.6301,               0.005875,               0.005875,               0.005875
                    128,                0.65401,                0.77873,                 1.1673,                0.82446,                0.79899,                 0.8577,                0.55098,                  1.254,                 0.8024,                 1.6319,               0.005842,               0.005842,               0.005842
                    129,                0.71335,                0.84681,                 1.2037,                0.82625,                0.79974,                0.85819,                0.55065,                 1.2552,                 0.8039,                  1.634,               0.005809,               0.005809,               0.005809
                    130,                0.73864,                0.86461,                 1.2179,                0.82735,                0.79455,                0.85753,                0.55129,                  1.256,                0.80517,                 1.6356,               0.005776,               0.005776,               0.005776
                    131,                 0.7428,                0.87919,                 1.2263,                 0.8298,                0.78878,                0.85731,                0.55061,                 1.2567,                0.80623,                 1.6367,               0.005743,               0.005743,               0.005743
                    132,                0.76395,                0.89398,                 1.2414,                 0.8342,                0.78721,                0.85763,                0.55061,                  1.257,                0.80659,                 1.6374,                0.00571,                0.00571,                0.00571
                    133,                0.76529,                0.90019,                 1.2361,                0.83086,                0.78969,                0.85765,                0.55006,                  1.257,                0.80656,                 1.6377,               0.005677,               0.005677,               0.005677
                    134,                 0.7749,                0.90033,                 1.2438,                0.82996,                0.79089,                0.85789,                 0.5499,                  1.258,                0.80733,                 1.6396,               0.005644,               0.005644,               0.005644
                    135,                0.77684,                0.92121,                  1.248,                 0.8351,                0.78723,                0.85743,                 0.5501,                 1.2575,                0.80786,                 1.6389,               0.005611,               0.005611,               0.005611
                    136,                0.77933,                0.92578,                 1.2482,                0.84013,                0.78204,                 0.8573,                0.54962,                 1.2578,                0.80835,                 1.6397,               0.005578,               0.005578,               0.005578
                    137,                0.78729,                0.92636,                 1.2546,                0.83838,                0.78089,                 0.8565,                0.54894,                 1.2594,                0.80918,                 1.6423,               0.005545,               0.005545,               0.005545
